ECRef,RegulatedEntityName,ReportingPeriodName,RegulatedEntityType,TotalExpenditure,DateIncurred,ExpenseCategoryName,SupplierName,FullAddress,AmountInEngland,AmountInScotland,AmountInWales,AmountInNorthernIreland,DateOfClaimForPayment,DatePaid,RegulatedEntityId,SupplierId,JointCampaignName,UnregisteredCampaignerName,CampaigningName,IsOutsideSection75
SP0050887,Alliance - Alliance Party of Northern Ireland,Northern Ireland Assembly election 05/05/2011,Political Party,£180.00,28/01/2011,Media,Flemming Steele,"North House, 84 North Road, Belfast, BT4 3DJ, United Kingdom",£0.00,£0.00,£0.00,£180.00,28/01/2011,07/02/2011,103,3594,,,,False
SP0050886,Alliance - Alliance Party of Northern Ireland,Northern Ireland Assembly election 05/05/2011,Political Party,£71.40,28/01/2011,Media,Prater Raines Ltd,"98 Sandgate High Street, Folkstone, CT20 3BY, United Kingdom",£0.00,£0.00,£0.00,£71.40,15/02/2011,15/02/2011,103,3604,,,,False
SP0050871,Alliance - Alliance Party of Northern Ireland,Northern Ireland Assembly election 05/05/2011,Political Party,"£2,220.00",28/01/2011,Advertising,Flemming Steele,"North House, 84 North Road, Belfast, BT4 3DJ, United Kingdom",£0.00,£0.00,£0.00,"£2,220.00",28/01/2011,07/02/2011,103,3594,,,,False
SP0050970,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly election 05/05/2011,Political Party,£551.11,26/01/2011,Advertising,Creative Online Media,"24 Mount Charles, Belfast, BT7 1NZ, United Kingdom",£0.00,£0.00,£0.00,£551.11,31/03/2011,24/05/2011,55,3638,,,,False
SP0050969,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly election 05/05/2011,Political Party,£523.93,26/01/2011,Advertising,Creative Online Media,"24 Mount Charles, Belfast, BT7 1NZ, United Kingdom",£0.00,£0.00,£0.00,£523.93,18/05/2011,24/05/2011,55,3638,,,,False
SP0050891,Alliance - Alliance Party of Northern Ireland,Northern Ireland Assembly election 05/05/2011,Political Party,"£1,324.20",25/01/2011,Rallies and other events,Event Displays,"1 Weavers Court, Linfield Road, Belfast, BT12 5GH, United Kingdom",£0.00,£0.00,£0.00,"£1,324.20",25/01/2011,01/02/2011,103,3607,,,,False
SP0051335,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,"£1,250.00",24/01/2011,Overheads and general administration,Victoria Ulster Unionist Association,"2 Belmont Road, Belfast, Antrim, BT4 2AN, United Kingdom",£0.00,£0.00,£0.00,"£1,250.00",06/03/2011,10/03/2011,83,2921,,,,False
SP0051334,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,"£1,250.00",24/01/2011,Overheads and general administration,Victoria Ulster Unionist Association,"2 Belmont Road, Belfast, Antrim, BT4 2AN, United Kingdom",£0.00,£0.00,£0.00,"£1,250.00",06/03/2011,05/04/2011,83,2921,,,,False
SP0077034,The Campaign to End all Animal Experiments,Northern Ireland Assembly election 05/05/2011,Third Party,£100.90,21/01/2011,Overheads and general administration,Royal Mail,"100 Victoria Embankment, London, EC4Y 0HQ, United Kingdom",£0.00,£0.00,£0.00,£0.00,21/02/2011,23/03/2011,970,6269,,,,False
SP0051318,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,"£1,000.00",21/01/2011,Overheads and general administration,Roy McCune,"N/A, N/A, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,"£1,000.00",06/05/2011,11/05/2011,83,2927,,,,False
SP0051317,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,"£1,000.00",21/01/2011,Overheads and general administration,Roy McCune,"N/A, N/A, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,"£1,000.00",08/04/2011,12/04/2011,83,2927,,,,False
SP0051319,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,"£1,000.00",20/01/2011,Overheads and general administration,Roy McCune,"N/A, N/A, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,"£1,000.00",01/03/2011,21/03/2011,83,2927,,,,False
SP0050989,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly election 05/05/2011,Political Party,"£1,386.00",20/01/2011,Overheads and general administration,Nitec Solutions,"Antrim Technology Park, Belfast Road, Antrim, BT41 1QS, United Kingdom",£0.00,£0.00,£0.00,"£1,386.00",07/04/2011,25/05/2011,55,3654,,,,False
SP0051313,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£290.00,18/01/2011,Rallies and other events,Antrim Borough Council,"50 Stiles Way, Antrim, Antrim, BT41 2UB, United Kingdom",£0.00,£0.00,£0.00,£290.00,31/01/2011,05/04/2011,83,2931,,,,False
SP0051312,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£178.50,18/01/2011,Rallies and other events,Cathy Busby,"N/A, N/A, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,£178.50,29/01/2011,05/04/2011,83,2932,,,,False
